API,Release
tf.histogram_fixed_width,2.8.0
tf.ragged.constant,2.8.0
tf.strings.unsorted_segment_join,2.8.0
tf.raw_ops.EditDistance,2.8.0
tf.raw_ops.SpaceToBatchND,2.8.0
tf.raw_ops.QuantizedConv2D,2.8.0
tf.raw_ops.SparseTensorDenseAdd,2.8.0
tf.raw_ops.QueueIsClosedV2,2.8.0
tf.summary.flush,2.8.0
tf.raw_ops.Conv3DBackpropFilterV2,2.8.0
tf.raw_ops.LSTMBlockCell,2.8.0
tf.raw_ops.SparseTensorToCSRSparseMatrix,2.8.0
tf.raw_ops.LoadAndRemapMatrix,2.8.0
tf.raw_ops.UnsortedSegmentJoin,2.8.0
tf.raw_ops.StagePeek,2.8.0
tf.raw_ops.GetSessionTensor,2.8.0
tf.raw_ops.DeleteSessionTensor,2.8.0
tf.raw_ops.QuantizeAndDequantizeV4Grad,2.8.0
tf.raw_ops.TensorSummaryV2 ,2.8.0
tf.sparse.split,2.7.0
tf.raw_ops.SparseCountSparseOutput,2.7.0
tf.raw_ops.QuantizedMaxPool,2.7.0
tf.raw_ops.FractionalMaxPool,2.7.0
tf.raw_ops.AddManySparseToTensorsMap,2.7.0
tf.raw_ops.SparseDenseCwiseDiv,2.7.0
tf.raw_ops.StringNGrams,2.7.0
tf.raw_ops.ThreadPoolHandle,2.7.0
tf.raw_ops.ConcatV2,2.7.0
tf.raw_ops.UnravelIndex,2.7.0
tf.raw_ops.FractionalAvgPoolGrad,2.7.0
tf.raw_ops.Dequantize,2.7.0
tf.raw_ops.Dequantize,2.7.0
tf.raw_ops.ReverseSequence,2.7.0
tf.raw_ops.AvgPoolGrad,2.7.0
tf.raw_ops.SparseFillEmptyRows,2.6.0
tf.raw_ops.SplitV,2.6.0
tf.raw_ops.CudnnRNNV3,2.6.0
tf.raw_ops.AllToAll,2.6.0
tf.raw_ops.CollectiveReduceV2,2.6.0
tf.raw_ops.SparseMatMul,2.6.0
tf.raw_ops.Transpose,2.6.0
tf.raw_ops.DeserializeSparse,2.6.0
tf.ragged.cross,2.6.0
tf.raw_ops.QuantizeV2,2.6.0
tf.raw_ops.QuantizeAndDequantizeV4Grad,2.6.0
tf.raw_ops.ParallelConcat,2.6.0
tf.raw_ops.SparseCountSparseOutput,2.6.0
tf.range,2.6.0
tf.keras.layers.UpSampling2D,2.6.0
tf.keras.backend.tile,2.6.0
tf.summary.create_file_writer,2.6.0
tf.keras.layers.MaxPooling3D,2.6.0
tf.math.segment_max,2.6.0
tf.math.segment_min,2.6.0
tf.math.segment_mean,2.6.0
tf.math.segment_sum,2.6.0
tf.math.segment_prod,2.6.0
tf.lite.Interpreter.set_tensor,2.4.0
models.model_from_yaml,2.4.0
tf.raw_ops.Dequantize,2.4.0
tf.raw_ops.Conv2D,2.4.0
tf.raw_ops.SparseFillEmptyRows,2.4.0
tf.raw_ops.MaxPoolGrad,2.4.0
tf.raw_ops.MapStage,2.4.0
tf.raw_ops.SdcaOptimizerV2,2.4.0
tf.raw_ops.MapPeek,2.4.0
tf.raw_ops.UpperBound,2.4.0
tf.raw_ops.NonMaxSuppressionV5,2.4.0
tf.raw_ops.CombinedNonMaxSuppression,2.4.0
tf.raw_ops.UnravelIndex,2.4.0
gen_string_ops.unicode_encode,2.4.0
tf.raw_ops.RaggedTensorToVariant,2.4.0
tf.raw_ops.RequantizationRangePerChannel,2.4.0
gen_math_ops.requantize_per_channel,2.4.0
tf.raw_ops.QuantizeV2,2.4.0
tf.raw_ops.BoostedTreesSparseCalculateBestFeatureSplit,2.4.0
gen_boosted_trees_ops.boosted_trees_create_quantile_stream_resource,2.4.0
tf.raw_ops.InplaceSub,2.4.0
tf.raw_ops.SqrtGrad,2.4.0
tf.raw_ops.MatrixSetDiagV3,2.4.0
tf.raw_ops.MatrixDiagV3,2.4.0
tf.raw_ops.RaggedTensorToSparse,2.4.0
tf.raw_ops.ResourceScatterUpdate,2.4.0
tf.raw_ops.ResourceGather,2.4.0
tf.raw_ops.ResourceGather,2.4.0
tf.raw_ops.FractionalAvgPoolGrad,2.4.0
tf.raw_ops.ExperimentalDatasetToTFRecord,2.4.0
tf.raw_ops.UncompressElement,2.4.0
tf.raw_ops.SparseTensorSliceDataset,2.4.0
tf.raw_ops.StringNGrams,2.4.0
tf.raw_ops.QuantizeAndDequantizeV4Grad,2.4.0
tf.raw_ops.MatrixDiagPartV2,2.4.0
tf.raw_ops.TensorListReserve,2.4.0
tf.raw_ops.RaggedGather,2.4.0
tf.raw_ops.ResourceScatterDiv,2.4.0
tf.raw_ops.SparseReshape,2.4.0
tf.raw_ops.Restore,2.4.0
tf.raw_ops.RestoreSlice,2.4.0
tf.raw_ops.RaggedTensorToTensor,2.4.0
tf.raw_ops.CompressElement,2.4.0
tf.raw_ops.SparseDenseCwiseDiv,2.4.0
tf.raw_ops.SparseCountSparseOutput,2.4.0
tf.strings.substr,2.4.0
tf.transpose,2.4.0
tf.io.decode_raw,2.4.0
tf.raw_ops.CTCLoss,2.4.0
tf.raw_ops.CTCLoss,2.4.0
tf.raw_ops.CTCLoss,2.4.0
tf.raw_ops.BandedTriangularSolve,2.4.0
tf.raw_ops.QuantizeAndDequantizeV2,2.4.0
tf.raw_ops.SparseReshape,2.4.0
tf.raw_ops.SparseSparseMinimum,2.4.0
tf.raw_ops.SparseAdd,2.4.0
tf.raw_ops.RaggedTensorToTensor,2.4.0
tf.raw_ops.BatchToSpaceNd,2.4.0
tf.raw_ops.SpaceToBatchND,2.4.0
tf.split,2.4.0
tf.one_hot,2.4.0
tf.raw_ops.FusedBatchNorm,2.4.0
tf.raw_ops.SparseSplit,2.4.0
tf.raw_ops.Dequantize,2.4.0
tf.raw_ops.CTCBeamSearchDecoder,2.4.0
tf.raw_ops.FractionalAvgPoolGrad,2.4.0
tf.raw_ops.FractionalMaxPoolGrad,2.4.0
tf.raw_ops.AvgPool3DGrad,2.4.0
tf.raw_ops.MaxPool3DGradGrad,2.4.0
tf.raw_ops.MaxPool3DGradGrad,2.4.0
tf.raw_ops.MaxPoolGradWithArgmax,2.4.0
tf.raw_ops.ReverseSequence,2.4.0
tf.raw_ops.SdcaOptimizer,2.4.0
tf.raw_ops.DrawBoundingBoxesV2,2.4.0
tf.raw_ops.RequantizationRange,2.4.0
tf.raw_ops.MaxPoolGradWithArgmax,2.4.0
tf.raw_ops.SparseDenseCwiseMul,2.4.0
tf.raw_ops.ParameterizedTruncatedNormal,2.4.0
tf.raw_ops.SparseFillEmptyRows,2.4.0
tf.raw_ops.EditDistance,2.4.0
tf.raw_ops.RFFT,2.4.0
tf.raw_ops.IRFFT,2.4.0
tf.raw_ops.LoadAndRemapMatrix,2.4.0
tf.raw_ops.UnicodeEncode,2.4.0
tf.raw_ops.SparseSplit,2.4.0
tf.raw_ops.Reverse,2.4.0
tf.raw_ops.SparseMatMul,2.4.0
tf.raw_ops.FusedBatchNorm,2.4.0
tf.raw_ops.DenseCountSparseOutput,2.4.0
tf.raw_ops.UnsortedSegmentJoin,2.4.0
tf.raw_ops.QuantizeAndDequantizeV3,2.4.0
tf.raw_ops.MatrixTriangularSolve,2.4.0
tf.raw_ops.FractionalAvgPool,2.4.0
tf.raw_ops.QuantizedAdd,2.4.0
tf.raw_ops.QuantizedBatchNormWithGlobalNormalization,2.4.0
tf.raw_ops.QuantizedBiasAdd,2.4.0
tf.raw_ops.CTCGreedyDecoder,2.4.0
tf.raw_ops.QuantizeAndDequantizeV4Grad,2.4.0
tf.raw_ops.Conv2DBackpropFilter,2.4.0
tf.raw_ops.QuantizedReshape,2.4.0
