API,Release
torch.nn.ConvTranspose3d,1.7.0
torch.nn.Unfold,1.10.0
torch.nn.AdaptiveAvgPool1d,1.10.1
torch.nn.BatchNorm2d,1.9.0
torch.nn.Conv2d,1.12.0
torch.cuda.amp.autocast,1.7.1
torch.nn.Conv3D,1.8.0
torch.nn.ConvTranspose1d,1.6.0
torch.nn.CosineSimilarity,1.10.1
torch.nn.CrossEntropyLoss,1.7.1
torch.nn.functional.max_pool2d,1.10.0
torch.nn.functional.pad,1.11.0
torch.nn.GaussianNLLLoss,1.8.0
torch.nn.Linear,1.11.0
torch.nn.Module,1.8.0
torch.nn.ModuleList,1.7.0
torch.nn.MultiheadAttention,1.7.1
torch.nn.parallel.DataParallel,1.8.1
torch.nn.RNN,1.10.0
tensor.is_contiguous,1.10.0
Tensor.nonzero,1.7.1
torch.jit.load,1.7.1
torch._C._torch.nn._conv_depthwise2d,1.11.0
torch._C._torch.nn.fractional_max_pool2d,1.9.0
torch._C._torch.nn.fractional_max_pool3d,1.9.0
torch._C._torch.nn.max_unpool3d,1.11.0
torch._C._torch.nn.reflection_pad2d,1.11.0
torch._C._torch.nn.slow_conv_transpose3d,1.11.0
torch._C._torch.nn.slow_conv3d,1.11.0
torch._C._torch.nn.thnn_conv2d,1.11.0
torch._embedding_bag_forward_only,1.11.0
torch._grid_sampler_2d_cpu_fallback,1.11.0
torch._nnpack_spatial_convolution,1.9.0
torch._pad_packed_sequence,1.11.0
torch._remove_batch_dim,1.7.0
torch._remove_batch_dim,1.11.0
torch._sobol_engine_ff_,1.9.0
torch._sobol_engine_initialize_state_,1.9.0
torch._sobol_engine_scramble_,1.9.0
torch._sources.normalize_source_lines(),1.9.0
torch.addmm,1.7.0
torch.addmm,1.11.0
torch.addmv,1.11.0
torch.addr,1.11.0
torch.addr,1.11.0
torch.ao.quantization.ReuseInputObserver,1.11.0
torch.arange,1.9.1
torch.arange,1.6.0
torch.arctanh,1.7.1
torch.argsort,1.10.1
torch.as_tensor,1.9.0
torch.as_tensor,1.7.1
torch.autograd.grad,1.8.0
torch.autograd.gradcheck,1.11.0
torch.autograd.gradcheck,1.11.0
torch.autograd.gradcheck,1.11.0
torch.autograd.gradcheck,1.11.0
torch.autograd.profiler.profile,1.7.0
torch.baddbmm,1.11.0
torch.baddmm,1.11.0
torch.batch_norm_gather_stats_with_counts,1.10.1
torch.bfloat16,1.11.0
torch.bincount,1.11.0
torch.bincount,1.5.0
torch.BoolTensor,1.10.1
torch.broadcast_to,1.10.1
torch.cat,1.8.1
torch.channel_shuffle,1.11.0
torch.cholesky,1.10.1
torch.combinations,1.10.1
torch.cuda,1.9.0
torch.cuda,1.9.1
torch.cuda.init,1.7.1
torch.cuda.is_initialized,1.7.1
torch.cuda.memory_allocated,1.7.0
torch.cuda.set_per_process_memory_fraction,1.8.2
torch.cuda.set_sync_debug_mode,1.10.0
torch.cuda.sparse.FloatTensor,1.11.0
torch.cummax,1.10.1
torch.cummin,1.10.1
torch.cumprod,1.11.0
torch.cumprod,1.11.0
torch.cumsum,1.11.0
torch.diag,1.10.1
torch.dist,1.11.0
torch.distributed.init_process_group,1.7.1
torch.distributed.all_gather_object,1.10.0
torch.distributed.all_to_all_single,1.10.0
torch.distributed.barrier,1.8.0
torch.distributed.boradcast,1.10.1
torch.distributed.destroy_process_group,1.8.1
torch.distributed.gather,1.11.0
torch.distributed.init_process_group,1.9.0
torch.distributed.init_process_group,1.11.0
torch.distributed.init_process_group,1.10.0
torch.distributed.init_process_group,1.10.1
torch.distributed.isend,1.12.0
